연번,업소명,소재지,Latitude,Longitude,취급품목,전화번호,지정일자
194,청석골칡냉면,"광주광역시 광산구 산월로3번길 46, (월계동)",35.2109445,126.8377998,"냉면, 만두",062-971-7717,2003-12-30
195,청원모밀,"광주광역시 동구 중앙로 174-1, (충장로3가)",35.1495384,126.9150643,모밀국수,062-222-2210,2003-11-11
196,맵촌용봉점,"광주광역시 북구 저불로 8, (용봉동)",35.1749908,126.895316,아구찜,062-529-9399,2003-07-03
197,마중물추어탕(용봉점),"광주광역시 북구 청계로 74, (용봉동)",35.1795562,126.8932331,추어탕,062-514-9540,2003-07-03
198,원조장수,"광주광역시 동구 동계천로 12-1, (대인동)",35.1538757,126.9153168,돼지갈비,062-225-9612,2003-11-11
199,한성회관,"광주광역시 동구 충장로 45-22, (금남로4가)",35.1513541,126.9159994,생선회,062-224-2842,2003-11-11
200,민속식당,"광주광역시 동구 문화전당로 37-2, (광산동)",35.1458444,126.9187798,돼지갈비,062-224-4577,2003-11-11
201,가매,"광주광역시 서구 상무대로 1104-26, (농성동,외 1필지(649번지 6호 나동))",35.1523819,126.8815211,초밥,062-352-7711,2003-07-16
202,신성,"광주광역시 동구 충장로 101-17, (충장로1가)",35.1476035,126.9180674,곰탕,062-232-0177,2002-07-04
203,첨단광주옥,"광주광역시 광산구 임방울대로801번길 36, (쌍암동)",35.2195793,126.8462453,"냉면, 갈비탕, 육개장",062-974-0022,2002-12-31
204,하남낙지마당,"광주광역시 광산구 사암로216번길 10-15, (우산동)",35.1626532,126.8091751,"낙지탕, 낙지회무침",062-955-8892,2002-06-10
205,장가네생태탕,"광주광역시 북구 설죽로217번길 3, (용봉동)",35.1789639,126.8972801,동태탕,062-523-5556,2002-04-02
206,장가네생태탕,"광주광역시 북구 설죽로217번길 3, (용봉동)",35.1789639,126.8972801,동태탕,062-523-5556,2002-04-02
207,운림골농원(달달한레시피),"광주광역시 동구 운림길 57-7, (운림동)",35.1356095,126.9431354,오리구이,062-225-3653,2002-07-04
208,무등골함흥냉면전문점,"광주광역시 남구 용대로 106, 1층 (봉선동)",35.1255813,126.91869,"냉면, 갈비",062-652-1888,2001-07-06
209,수원회관,"광주광역시 북구 중가로51번길 23-1, (유동)",35.1606284,126.9061757,굴비백반,062-514-2580,2001-07-01
210,전주영양돌솥밥,"광주광역시 북구 설죽로 517-6, (일곡동)",35.205098,126.8970324,영양돌솥밥,062-571-8998,2001-07-01
211,칠산바다,"광주광역시 남구 봉선로 103, (봉선동)",35.1248774,126.9072453,"대구탕, 생태탕",062-651-7770,2001-07-06
212,관가,"광주광역시 동구 의재로96번길 18, (소태동)",35.1307801,126.9388407,통오리구이,062-226-0040,2001-07-12
213,오대양,"광주광역시 동구 동계천로 79, (동명동)",35.1487003,126.9274317,대구탕,062-234-1110,2001-07-12
214,대흥반점,"광주광역시 남구 봉선중앙로 71, (봉선동)",35.1272655,126.9110831,"자장면,탕수육",062-671-9258,2001-07-06
215,송하회관,"광주광역시 동구 문화전당로35번길 28-3, (불로동)",35.1448387,126.9160815,복탕,062-223-2232,2000-07-24
216,아웃백 스테이크하우스(광천점),"광주광역시 서구 죽봉대로 68, 2층 (농성동)",35.1594255,126.8837834,로스트프라임비프,062-363-0531,2000-03-29
217,미연,"광주광역시 동구 무등로 326, (계림동)",35.1549431,126.9199106,복탕,062-226-4743,2000-07-24
218,쌍학,"광주광역시 동구 구성로152번길 13, (수기동,(1,2층))",35.1523309,126.9084412,복탕,062-225-5200,2000-07-24
219,임가네일반음식점,"광주광역시 광산구 사암로130번길 65, 1층 (우산동)",35.1559668,126.8111066,"육고기류, 비빕밥",062-941-5706,2000-06-09
220,제주통도야지,"광주광역시 북구 서하로214번길 25, (오치동, 1층)",35.1862953,126.9041516,삼겹살,062-262-7237,1999-08-12
221,개마고원,"광주광역시 서구 상무대로 1094, (농성동,(일,이층))",35.1545664,126.8879123,등심,062-384-3433,1999-06-30
222,금강산 한우촌,"광주광역시 남구 독립로 149, (월산동)",35.1469285,126.9036023,꽃등심,062-365-8762,1999-01-11
223,바다로,"광주광역시 북구 대천로 124-7, (문흥동)",35.185349,126.9208677,모듬회,062-371-3806,1998-09-16
224,샤브향(용봉점),"광주광역시 북구 우치로100번길 15, (용봉동)",35.1765319,126.9133247,샤브샤브,062-263-0963,1998-09-16
225,광산나주곰탕,"광주광역시 광산구 상무대로 232, 1층 (송정동)",35.1395633,126.7931978,곰탕,062-941-4080,1997-07-22
